name,delta,delta_,mnnd,pd,spd,psv,psr,mpd
Im341_glaucoma,16.750129040554505,16.40592872777376,228553421253.0,28.697193189958014,57520523.9266341,-8.006197491609933,-600.464811870745,1762.2709536346233
Im119_normal,18.317978544886866,10.50228238855122,979804259314.0,29.32598427175803,61815641.65425167,-17.640273079809194,-1640.5453964222552,1893.8615702895734
Im321_glaucoma,31.114874416160003,2.420358093759721,1422350982127.0,30.078348899633344,67549493.79511413,-7.993592378214662,-919.263123494686,2069.53105989933
Im338_glaucoma,16.58821989404474,0.836793960749263,1885351493117.0,30.451830143192346,64570177.98172065,-11.50023667542612,-1115.5229575163337,1978.2530018909513
Im382_glaucoma,33.567498869935065,5.218517085742937,3067427888384.0,30.508304525665675,91591240.58484796,-11.815332053580496,-1701.4078157155914,2806.1041845848026
Im407_glaucoma,23.80972692892382,1.0515032656506382,4034211599134.0,30.629939186839067,85397528.8229897,-21.607617955828495,-2506.4836828761054,2616.3458585474787
Im380_glaucoma,31.854853580214847,1.6794060212824626,5180633895700.0,30.777449175754025,91006022.91869758,-10.741451283732555,-1578.9933387086855,2788.174721773823
Im163_normal,28.807900492543656,0.7385399719100391,6158345479387.0,30.914341493714407,91248810.13344261,-10.06360778131016,-1439.095912727353,2795.6130555589034
Im072_normal,25.283869621770044,0.2915634174791277,6943881308792.0,31.02654217756534,90075461.47245957,-14.666914863323367,-1657.3613795555405,2759.664873543492
Im448_glaucoma,27.31395040206104,0.30305464214573596,7810975401547.0,31.102945486704805,89374152.50036281,-15.857036481784597,-1839.4162318870133,2738.1786918003313
Im331_glaucoma,22.292836911380828,0.11675477708751325,8405205752295.0,31.18412891018953,88540189.71123572,-8.111420083179523,-981.4818300647222,2712.6283612510942
Im103_normal,18.39604424851119,0.13559878719892007,9315990587993.0,31.21966814694643,85525842.49686328,-35.73343816008164,-3108.8091199271025,2620.27703728135
Im140_normal,36.38299992354683,0.3304692467630102,10325759102221.0,31.252331781082034,87984040.54439053,-6.722875817002928,-1189.9490196095182,2695.589477462945
Im217_normal,34.87040244335192,0.24302842680207962,11351465685324.0,31.277549372743355,88791771.68128158,-12.834616039985333,-1822.5154776779173,2720.3361421961267
Im233_normal,27.03745693800035,0.16546977463625268,12231287204400.0,31.314082497521138,88988047.63684556,-13.495709471496152,-1538.5108797505613,2726.3494986778664
Im174_normal,21.729631135427592,0.12557081986815263,13300755637496.0,31.336011953890836,87014692.62490681,-21.35854257635302,-2349.439683398832,2665.891318165037
Im246_normal,20.646541738613035,0.06039502679476817,14032707477531.0,31.366928385963295,86127964.40623236,-15.993283026315163,-1599.3283026315164,2638.7243997007463
Im159_normal,23.888969571343342,0.08756571280437005,15069165991956.0,31.379731015248392,84508204.33379334,-28.782229160455643,-3079.698520168754,2589.0993974814137
Im373_glaucoma,33.05534993474474,0.16456418298406772,16154378978832.0,31.397575462591025,86472179.75883615,-11.055759057200467,-1569.9177861224662,2649.270213199637
Im374_glaucoma,18.995107621695006,0.070082918312684,17188556762369.0,31.414937134878684,84690968.53458332,-19.930829760359924,-2212.3221033999516,2594.698790887969
Im298_glaucoma,31.201744057049208,0.0204556515461444,17663292119868.0,31.437685907728643,84782182.1605948,-3.8310661400643204,-589.9841855699053,2597.4933259986155
Im367_glaucoma,23.18031217209004,0.10765738217413924,18990003411914.0,31.445669836583647,83617081.96881965,-33.148169166775546,-3281.668747510779,2561.7978544368766
Im064_normal,30.19251638253843,0.06112005228894002,19947357477425.0,31.457460488064694,83800694.16076902,-10.956564755328102,-1566.7887600119186,2567.423227964737
Im053_normal,32.61641312234955,0.06402489272274564,20910695559470.0,31.468609479197973,84436349.34820415,-10.57193694779129,-1501.215046586363,2586.8979579719407
Im054_normal,31.437216065947425,0.06194557847209197,21916341038613.0,31.478593107847747,84916099.79797395,-15.592436607499323,-1933.462139329916,2601.5961947908686
Im170_normal,23.575592871785528,0.023441947346311942,22654947540591.0,31.490837466898416,84606310.81168318,-14.19152992562792,-1575.2598217446991,2592.105110652058
Im234_normal,24.95491665310612,0.04115141061689046,23615129279078.0,31.500115431160197,84374729.10043475,-21.522271015299296,-2173.749372545229,2585.010082733908
Im322_glaucoma,19.01252809511179,0.005068399346486448,24029794395094.0,31.51303489209633,84185810.68206756,-10.107312203231492,-990.5165959166862,2579.222140994717
Im447_glaucoma,20.117602447583764,0.03693810985700846,25080071370120.0,31.520122778560538,83228474.44635932,-18.03969608590986,-2074.565049879634,2549.89198671444
Im418_glaucoma,28.615626707314927,0.04455920347992897,26043597873215.0,31.52760625117886,83668886.81013559,-9.386666039951432,-1332.9065776731034,2563.3850125654285
Im403_glaucoma,41.70599687435864,0.06484581323961447,27113984029893.0,31.532996453706314,85568597.17527808,-9.377214095570368,-1519.1086834823996,2621.5869232621963
Im118_normal,18.54754318365406,0.01805350610124458,27987761387372.0,31.53997107561157,84809832.93196766,-19.601500806496222,-1920.9470790366297,2598.3404697294013
Im164_normal,25.86245061531038,0.033170563553879005,28980691013443.0,31.545972728736604,84786333.10999237,-13.509545774783255,-1675.1836760731237,2597.620499693394
Im066_normal,24.26206864462624,0.024103453111699417,29928327427086.0,31.551582418294444,84518660.7291989,-14.435635195220591,-1732.276223426471,2589.4197527328097
Im390_glaucoma,33.95714960261964,0.03543997077426528,30807030951803.0,31.557740323234757,85569498.59289463,-10.783499479746169,-1401.854932367002,2621.6145402234874
Im330_glaucoma,29.885459893194806,0.008783430556909822,31359624976605.0,31.564492561100728,85631277.47519289,-6.481846103674019,-862.0855317886445,2623.5072755880174
Im096_normal,27.635951872274795,0.02079514512194682,32306977017249.0,31.568487468760793,85537381.48900585,-12.951339113406004,-1657.7714065159685,2620.630560324934
Im137_normal,19.03279381870584,0.008559151491737058,33100801323947.0,31.572761056907368,85000153.12857233,-20.698127148328908,-2111.2089691295487,2604.1713581057697
Im182_normal,18.256331179748592,0.011984923406822735,34043365670958.0,31.576431094859185,84243607.53684755,-23.636881092903398,-2410.9618714761464,2580.992877967143
Im205_normal,26.99630236162585,0.02023175903428469,35041069632440.0,31.579823518269663,84162907.10386176,-15.057332500310716,-1867.1092300385287,2578.520438231059
Im214_normal,21.353610656919106,0.02306510084790191,36041604150344.0,31.58404609949747,83796029.49539092,-18.868956625082294,-1886.8956625082294,2567.280315422516
Im389_glaucoma,41.021647054707806,0.03583767157097388,37126355792312.0,31.586920366414233,85332806.48111008,-9.343188405840126,-1504.2533333402603,2614.362943661461
Im387_glaucoma,26.08279504942102,0.014984320747647889,38006492806184.0,31.59071486064929,85312141.00832082,-19.53529411756066,-2012.135294108748,2613.7298103039466
Im199_normal,28.814746684791526,0.02170581618166904,39154645530387.0,31.59288227986168,85305978.52438584,-14.35836364402174,-1924.0207282989131,2613.5410087128016
Im365_glaucoma,32.95072147056991,0.012496538611758437,39955773269564.0,31.596358191408406,85546674.87762141,-11.684825376808163,-1519.0272989850612,2620.915284240852
Im149_normal,23.725007609139855,0.008100262558196103,40785287060592.0,31.599348455522577,85271963.85679883,-19.01693860403969,-2034.812430632247,2612.4988926715328
Im139_normal,22.09997300432168,0.01263083892064444,41697500881834.0,31.60260158356176,84993756.82229124,-13.153159568935221,-1565.2259887032913,2603.975392839805
Im346_glaucoma,18.258121257413894,0.00949643124811878,42665159950025.0,31.6053537297091,84366268.26813732,-35.838962396258275,-2938.7949164931783,2584.750866058129
Im250_normal,19.87883426613847,0.012261388816191146,43664562961058.0,31.608131201469316,83863509.50738667,-22.663677592281545,-2243.704081635873,2569.347717750817
Im395_glaucoma,18.796868169207762,0.00846350489767621,44579986427298.0,31.61087977302772,83380584.37465319,-24.44108480227158,-2273.0208866112566,2554.5522173606983
Im297_glaucoma,33.44577612393282,0.0034090911021371732,45041207578312.0,31.614419748050032,83477339.63776417,-3.216781889795876,-485.7340653591773,2557.5165330197356
Im201_normal,22.521210681287442,0.00912364615450806,46053803552637.0,31.616197584968713,83115172.76887105,-16.999616131467327,-2073.953168039014,2546.4207343404123
Im376_glaucoma,24.139620181111106,0.009361808180557232,47075005775087.0,31.617853956936948,82831515.32439874,-18.723192814672796,-2209.33675213139,2537.7302489092754
Im339_glaucoma,36.05721429851432,0.002807427782037094,47500875452492.0,31.621043395592775,82942470.2690665,-3.9992708000052732,-575.8949952007594,2541.129603831694
Im093_normal,21.20898413604127,0.007413948761509607,48502062952444.0,31.62258246751103,82538007.74916904,-19.496745187720084,-2242.1256965878097,2528.737982511306
Im244_normal,28.12538400653716,0.00925961656853037,49489239369201.0,31.62406930311642,82459172.93775013,-9.233076026415215,-1449.5929361471888,2526.3227002987173
Im202_normal,33.855474682065946,0.012449446856892827,50360906084165.0,31.626208364350394,83090481.4069696,-8.167086636052684,-1151.5592156834284,2545.664258791961
Im110_normal,24.706964896311604,0.00812127853222698,51295644904130.0,31.628010664477358,82989840.43843088,-14.992857966721951,-1799.1429560066342,2542.5808957852596
Im100_normal,31.99172627954124,0.011225938039754283,52262867705704.0,31.62968664197685,83341481.18508926,-7.983071612470288,-1229.3930283204243,2553.3542029745486
Im431_glaucoma,22.303296983137813,0.005509521140819468,53033728103056.0,31.631814117445455,83207179.60638914,-9.523500463168338,-1219.0080592855472,2549.239571274177
Im303_glaucoma,31.527561307452057,0.00034209419741372445,53227505176225.0,31.63463859037708,83208813.090387,-2.5404434484894174,-320.0958745096666,2549.289616739798
Im348_glaucoma,22.230636175057374,0.004303737402076551,54058853960844.0,31.636101817186447,82968778.00143741,-17.60014226412398,-1971.215933581886,2541.9356005342343
Im327_glaucoma,20.302832439789043,0.0009663424854580227,54456474358092.0,31.638366187005104,82909082.1808907,-8.813609031487918,-881.3609031487917,2540.106684463563
Im188_normal,32.39271603229339,0.013092946072908944,55540507408203.0,31.63949989065843,83425971.38977446,-11.622508715700523,-1627.1512201980731,2555.9427509122074
Im078_normal,27.82299165102883,0.005845998717143462,56406855337890.0,31.640813187904627,83421629.01026422,-13.085101120786726,-1596.3823367359805,2555.8097123242715
Im254_normal,18.354993447793326,0.0028369675858653976,57190673007440.0,31.642178632046512,83126807.59043409,-18.92198743576593,-1967.8866933196568,2546.777193334378
Im181_normal,24.175192251485832,0.003349951163269348,57888038305977.0,31.64373900454765,83050849.19992946,-11.859103683469037,-1375.6560272824083,2544.4500367625446
Im222_normal,34.044129366797975,0.012490718352843983,59045857108495.0,31.64452595185072,83529953.99226294,-17.041596466449697,-2181.324347705561,2559.128492410017
Im371_glaucoma,15.210874467641421,0.0023737976395513394,59652229857983.0,31.646354703042803,83236106.30383047,-26.789654528485784,-1875.2758169940048,2550.125805877159
Im219_normal,16.607492831473724,0.0020369406296638975,60383848761094.0,31.64764989994641,82954162.95356727,-20.280519759452687,-1967.2104166669108,2541.4878355872324
Im450_glaucoma,27.697788808906147,0.01301567836229341,61815010618490.0,31.64791594579141,82925025.73675811,-24.59762957882114,-3000.910808616179,2540.595151248717
Im122_normal,31.28430493783031,0.01012090994715736,63000381416157.0,31.648579808557876,83186668.71076304,-14.443302789545216,-1964.2891793781494,2548.6111737366127
Im349_glaucoma,18.955726087683065,0.004518661448608295,64130813805867.0,31.64913582534014,82620300.32999541,-25.9317381603047,-2956.2181502747358,2531.259201286624
Im351_glaucoma,22.34488485373873,0.012663494066053377,65728361953056.0,31.649412652125182,82079683.96456546,-34.014376086767626,-3707.5669934576713,2514.696199894775
Im172_normal,20.968810662238642,0.0036407884139384324,66686582324170.0,31.650358131525365,81817328.82419239,-24.5830685303809,-2482.889921568471,2506.6583585843255
Im402_glaucoma,23.801925760284877,0.003787595029734773,67476622250459.0,31.65167767040431,81780015.04044716,-8.771449792041361,-1166.602822341501,2505.5151666803663
Im369_glaucoma,34.82682033489484,0.011574672576299783,68821952671451.0,31.652056128148732,82125057.37404573,-19.668734256162658,-2753.622795862772,2516.0863166067934
Im368_glaucoma,38.15159191425278,0.018745604420022738,70284791804455.0,31.652572086094168,83676930.00987838,-14.391471339538231,-2086.7633442330434,2563.631434126176
Im249_normal,46.731793438049486,0.011275920325861801,71316157166255.0,31.653515782474063,84889035.33901939,-6.673898158033554,-1161.2582794978384,2600.767014063094
Im326_glaucoma,34.27713707686531,0.0014448050962764013,71789892071802.0,31.65497775905906,84948003.22951578,-3.493207110089135,-555.4199305041725,2602.573628355263
Im070_normal,26.50773217102355,0.003644711073702004,72675622159106.0,31.65595171683445,84898187.3443618,-11.509493207188047,-1530.7625965560103,2601.0474063836336
Im224_normal,17.15041302118227,0.0031806165355728784,73662472437310.0,31.656892003345217,84485276.382072,-24.429950071989342,-2296.415306766998,2588.396947980147
Im105_normal,25.352893435601604,0.004812624714269278,74701749499442.0,31.65770767325586,84416847.24129337,-13.639706940532708,-1718.6030745071212,2586.30046695139
Im192_normal,19.449673757941532,0.002813978073479772,75627120999860.0,31.658622425509872,84150319.02142587,-18.071680321814085,-1987.8848353995495,2578.134773940744
Im319_glaucoma,26.748110559153986,0.0391854508888025,78473015846429.0,31.65796093083541,84558199.60949805,-21.23372532096105,-3546.032128600495,2590.6311154870727
Im220_normal,33.78336962455748,0.0049999145548762355,79438773041317.0,31.658857340280278,84792006.50422789,-11.276001601313997,-1556.0882209813315,2597.7943169187465
Im404_glaucoma,33.1940251581336,0.006071698630661442,80330180495161.0,31.659936436185298,85244181.22401768,-7.613970024814787,-1104.0256535981441,2611.647709069169
Im112_normal,18.043592566332965,0.002527572643846553,81441963388779.0,31.660462840287558,84801067.6773086,-40.69060536174349,-3865.607509365632,2598.071926388131
Im427_glaucoma,19.540850113109613,0.005330342736669397,82929544693230.0,31.660781238631102,84197716.89258027,-55.18158051074613,-4855.979084945659,2579.5869146011114
Im193_normal,20.15656300639645,0.0028114478328691624,83989999815959.0,31.66150192494631,83924122.57911237,-21.14528798235072,-2389.4175420056313,2571.204735879668
Im361_glaucoma,14.238050658297153,0.001868143271557184,84567544225302.0,31.662843175007005,83624582.88822809,-24.642185657527364,-1626.384253396806,2562.027662016792
Im171_normal,21.49535865589129,0.0018010492058441628,85405357778137.0,31.66369456683708,83486824.10001303,-17.967789587240507,-1940.5212754219747,2557.807110907262
Im148_normal,23.552303872736523,0.002592838004281222,86390082084875.0,31.664382730149697,83348530.98789522,-21.72382227374095,-2346.1728055640224,2553.570189580123
Im069_normal,24.603938244830385,0.0021002842429668827,87197114077047.0,31.66526494324088,83309104.49868067,-11.145049462363119,-1393.1311827953898,2552.3622701801673
Im221_normal,33.559358338404145,0.004328863419013428,88181597780814.0,31.665993899304766,83562696.93684827,-11.412102939053149,-1563.4581026502815,2560.131646349518
Im328_glaucoma,19.50847878866382,0.0003239437054800008,88552582062224.0,31.66712676170381,83530802.80445777,-9.814661591134568,-893.1342047932457,2559.1544976855935
Im425_glaucoma,15.283631839507139,0.0026687357968453412,89831690382568.0,31.667551679479,82955670.34000514,-68.52604381114286,-5002.401198213429,2541.5340177697653
Im386_glaucoma,45.5918952601062,0.008889978005143795,91131657571094.0,31.667928469613276,83874356.17171296,-15.460017721692342,-2319.002658253851,2569.6800297706177
Im432_glaucoma,16.41099238501523,0.001379672502636787,92018159856168.0,31.66864864365845,83620998.4792354,-25.249424234520905,-2423.944726514007,2561.91784556481
Im398_glaucoma,21.695277954459474,0.0030321663352500462,93153800641740.0,31.669189086661028,83431886.40760297,-32.301803865305395,-2971.765955608096,2556.123970821169
Im360_glaucoma,34.44476179529449,0.0026754489107415538,93991745960966.0,31.669906796099546,83585182.40477827,-8.809918567283036,-1268.6282736887572,2560.820539362079
Im075_normal,20.246173978847484,0.0040970138590796,95337252765852.0,31.670342564183066,83235662.66828662,-35.08459419868042,-3403.205637272001,2550.1122141019187
Im353_glaucoma,22.992083572184022,0.0022179137958318537,96363344244069.0,31.67088192473437,83085060.71613577,-31.993268339606672,-3039.3604922626337,2545.49818370514
Im342_glaucoma,14.240782781130802,0.0003159414040511686,96857443692113.0,31.671761723201357,83000850.53222497,-17.842963695292163,-1516.651914099834,2542.918214835324
Im143_normal,23.787677784382225,0.0021497209933952874,97835702446062.0,31.672323494430422,82903780.11129756,-16.520869604083753,-1965.9834828859666,2539.9442436059303
Im059_normal,21.985964193042463,0.0012002794332654672,98622240754596.0,31.672972766502088,82808436.16884671,-17.21945225277205,-1842.4813910466094,2537.023166937706
Im392_glaucoma,33.23457094367833,0.004538041787003135,99875872648093.0,31.673300969706506,82966868.39056098,-28.313236871160875,-3171.082529570018,2541.87709529905
Im160_normal,24.58497630474119,0.0019120985552291397,100851698023199.0,31.673793586753614,82871111.9943663,-11.18966964535206,-1555.3640807039365,2538.94338218034
Im127_normal,21.145139603668355,0.002258132433350333,101870704497748.0,31.674357124260524,82721347.24252585,-31.0324620443117,-2730.8566598994294,2534.3550013028753
Im198_normal,29.715533172268998,0.00400451830834254,103126743307287.0,31.674705010776847,82809323.11280432,-17.178627783541543,-2216.0429840768593,2537.050340465819
Im065_normal,29.727540910511802,0.002653055278974376,104170341903002.0,31.67516061629825,82850416.59253253,-11.362034219825167,-1647.4949618746493,2538.30933187906
Im087_normal,35.131710354646025,0.0033900787484857533,105244082630135.0,31.675598576025116,83067873.88819018,-9.889536824858306,-1522.9886710281792,2544.9716264764147
Im156_normal,24.78320998679232,0.001869545458806261,106228862553830.0,31.676077365864078,82988656.71787691,-16.624174814492758,-1978.276802924638,2542.544629836915
Im206_normal,36.743461723261994,0.003911105569874937,107310385006707.0,31.676538417500993,83344782.58554916,-7.781420952720911,-1283.9344571989502,2553.4553488219717
Im085_normal,26.251211143150613,0.0030325517126918895,108493919900796.0,31.676938238561014,83320948.54623382,-20.820915899502666,-2436.047160241812,2552.7251392841245
Im133_normal,19.556048665785323,0.0012565410535771316,109495463049922.0,31.67732518333517,83098604.1104236,-24.03771312701116,-2644.1484439712276,2545.913116128174
Im128_normal,30.923796388085126,0.0025738901566181548,110557513480814.0,31.677737477167693,83170693.64988126,-14.29321632961425,-1900.9977718386951,2548.1217417243033
Im183_normal,19.780789129453783,0.001043306221167978,111440047836754.0,31.67822500576858,83020910.58575422,-21.674825008397786,-2254.18180087337,2543.5327998086464
Im196_normal,25.838003312790192,0.0021867080691808237,112535656490313.0,31.678610971941787,82965104.4645635,-15.20899178035752,-1977.1689314464777,2541.823053448637
Im092_normal,22.01284256514764,0.0013170578956622876,113496777972525.0,31.679036320880183,82833845.18646647,-17.263613082280433,-2054.3699567913714,2537.8016294873305
Im445_glaucoma,35.0495276542045,0.0020090104210395174,114420837898179.0,31.679470917518813,82936252.9422506,-14.557250225015203,-1892.4425292519763,2540.9391220052266
Im243_normal,27.211862790096546,0.0014226854355133985,115240863610246.0,31.67999826708881,82951260.38627867,-8.604196316821147,-1213.1916806717818,2541.3989088933417
